path,ext,bytes,classification,reason,sha256
assets/audio/idents/station-id-en.wav,.wav,272654,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,d94293703e3342c0a20428b8bb82ae55ccdf688207695bb3d069beff85d02a9e
assets/audio/idents/station-id-tr.wav,.wav,262956,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,196dea1bcca935bf8d80f903ef2b9c77bb4bd29b0fe7c5f83529f5c484ddce18
assets/audio/idents/station-id-es.wav,.wav,296304,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,a77f5cc3f65d437dd41b04fee5dad2840ad13a9b074b6481e9c9447b8923858a
assets/audio/idents/station-id-de.wav,.wav,279826,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,0698287ca41609a0a362c562ac13b95cb2968402ccdd662af5d7e8fc9c303a70
assets/audio/idents/station-id-nl.wav,.wav,286718,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,6571d2e3d48708f9221cf28c4387d46230114b574724d03e8104a4c7484eb746
assets/audio/idents/hour-strike.wav,.wav,154394,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,d61f8590dabcd935a6a59142e3f852fe8e18cef07b5ad1519569aa4cc62d0776
assets/audio/idents/station-id-he.wav,.wav,276742,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,fb6515eccab833c7081f0003b1f8a521d265541241606a20348bd5a9e9a976c5
assets/audio/idents/station-id-fr.wav,.wav,267994,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,92ef5a1a1605e055f93966134ca44ed9d10ecf6a1ac15de6c7da311bccd6e821
assets/audio/idents/station-id-jv.wav,.wav,317618,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,d66b89f8d242f75da203585ff8b7cbf945e93727ff45eab164f90077753d83f7
assets/audio/idents/luxdot-signature.wav,.wav,217016,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,7d1db7ab263dd90e4ff05a09c76879ee04353c1731cc425ea53aeffcf46d20a0
assets/audio/idents/station-id-id.wav,.wav,308028,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,3ef3dad4156eef94eaf8f8360e21b25649a333375a21e0c976975ec7a0c53c04
assets/audio/idents/station-id-ar.wav,.wav,312312,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,59ff5fddf9ca6dac3c5c2191fcae4c4f04d10d7a3785159cd04c96c54224f8fb
assets/audio/memorial/julia-ghabat-shams-alhaq.mp3,.mp3,5134750,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,37b5155302148db677eabf0c3739059615a6a8baaece1c778f97d12fff59dc16
assets/audio/memorial/heartbeat-song-for-syria.mp3,.mp3,3403693,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,8af358e53d7f4873715c3d2a759f4315699c9e39185e09b742c559b50af09ed7
assets/audio/memorial/heal-the-world.mp3,.mp3,5957680,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,52e82f2ef35802e05de44a7be2eded5cf6f1ad687ba61a1f97b685edd113618d
assets/audio/memorial/sarkha-child-refugee.mp3,.mp3,3552946,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,95fb1629295639e1e31945e7b259a8a8fd811298720e35dbae994e047ecc047d
assets/audio/memorial/one-day.mp3,.mp3,5123480,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,e9b5c340e5bfd3ab5efcd44e11ff8acf181bf0554a6d1c9d3c2e2632fb8fcb1f
assets/audio/memorial/youre-not-alone-syria.mp3,.mp3,5786420,UNKNOWN_AUDIO_PROVENANCE,audio provenance not encoded reliably,9b06bb93a04ef6859eb2b0d004c5186809dc46afa42bae23c79e4c0863dcb5b8
assets/images/research/chaam-ledevaert-cemetery.jpg,.jpg,176080,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,d0bd0282ba25ade3726b6a302826d9f4d1c6d893582989213c64280f047a544f
assets/images/memory/maximilian-kolbe.jpg,.jpg,29959,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,2e24cfc7fa887a98afccf973888d7947701410042abd2fd6e1d44e19f42f7254
assets/images/memory/maximilian-kolbe-research.jpg,.jpg,144404,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,5192109fbb41d213179a2be12223f2b06fdba2cb4aa53cec96d809058e30eb0e
